[-1.58281749 -0.60313099]
[-1.51420035 -1.10035793]
[-1.45656061  0.28681379]
[-1.64754352  0.86340151]
[-1.68824693 -0.359405  ]
[-1.48620063  0.34852174]
[-1.12285434  0.22728141]
[-1.58495208  3.12521201]
[-1.04834097  0.22230766]
[-1.07607418  0.4857897 ]
[-1.06854683  1.00782555]
[-1.73067171  0.63180273]
[-1.42174115  0.41777157]
[-1.3041187  -0.49259389]
[-1.41607941 -1.11596213]
[-1.33737524  0.01997524]
[-1.14428966 -0.16118043]
[-1.46729148  2.15734783]
[-1.55254495 -0.61715028]
[-1.64583464  0.03922394]
[-1.21605426 -1.76178402]
[-1.26007858  1.29279712]
[-1.24046534  2.10311933]
[-1.52142286 -0.14693313]
[-0.98412794 -0.02411615]
[-1.3815805   0.53019679]
[-1.47237869 -0.60675913]
[-1.33844459 -0.11312404]
[-1.7867386  -0.96484679]
[-0.79648857 -0.99952986]
[-1.2533588   0.29696176]
[-1.09268946  0.49021227]
[-0.81340739 -0.39147333]
[-1.80816106  0.22950764]
[-1.32820276  0.18508835]
[-1.59502635  2.40110855]
[-0.54435677 -0.80467043]
[-1.06042956 -1.22123655]
[-1.41218285 -0.43688925]
[-1.25937276 -0.54546896]
[-1.92767057  0.05180475]
[-1.59677147 -0.79425869]
[-1.46880206  0.35953224]
[-0.9808208  -0.24371848]
[-1.59759839 -0.17207067]
[-1.56627575  0.03149148]
[-1.45710214  0.05121718]
[-1.50236341 -1.22140301]
[-1.79004308 -1.58732652]
[-1.63050021 -0.44050678]
[-1.12236938  1.18899727]
[-1.72507727 -0.63975603]
[-1.62685075  0.95663637]
[-0.94575883  0.42677065]
[-1.57669267 -0.89124681]
[-1.7910518   0.56094924]
[-1.09548803  0.79026888]
[-1.02172578  0.74463467]
[-0.68106516  1.18393636]
[-0.84187671  0.58636759]
[-1.38246415 -0.87214465]
[-1.85399684 -1.35055389]
[-0.79939069 -0.33989231]
[-1.52046912  0.64322168]
[-1.33681355 -0.60923405]
[-1.36013562 -0.45003299]
[-1.54248159  0.26528261]
[-1.32632359 -0.11875211]
[-1.09400557 -0.75823629]
[-1.37570743  0.27184377]
[-1.84309034 -1.26252533]
[-1.95282861 -0.19555196]
[-1.30337585  1.86369992]
[-1.72597121 -1.02126016]
[-1.02080337  0.83483528]
[-1.5777622  -1.30364017]
[-1.37549605 -0.25280494]
[-1.53114173  0.72297806]
[-1.87431457 -1.38987833]
[-1.65451392 -0.83606354]
[-1.64218907 -0.44674732]
[-1.5362109  -0.38722909]
[-1.45474708 -0.94201387]
[-0.74838313 -0.61185002]
[-0.86742802  3.33280015]
[-1.27307797  1.28554753]
[-1.63920277  0.43140324]
[-0.86757794  0.20808626]
[-1.80178363 -0.75077306]
[-1.30343861 -1.48407906]
[-1.51363958  0.17951628]
[-1.58237335  0.27998741]
[-1.52249946  0.47999578]
[-1.16180158 -0.54547728]
[-0.97513484  1.0856279 ]
[-1.63122362 -0.10037607]
[-1.14463725 -0.75916533]
[-1.22363303  1.28062821]
[-1.69689547  1.52624452]
[-0.63530382  0.03017809]
[-1.51860013 -1.15122848]
[-1.41553584  1.01403514]
[-1.77766673 -0.41592042]
[-0.93859099  0.5115888 ]
[-0.49124793  1.55641706]
[-1.01932777  0.59122853]
[-1.01976835 -0.45110122]
[-1.46155875 -0.3952409 ]
[-1.36887722 -0.51948886]
[-1.28319687  0.45106629]
[-1.36806726 -1.03557416]
[-1.44017112  0.92821767]
[-1.91727736 -0.26439564]
[-1.10898853 -1.08953901]
[-1.6913557  -0.82903191]
[-0.99698641 -1.34337032]
[-1.01761849 -1.38099717]
[-1.27409193 -0.62754894]
[-1.24271231 -0.5226166 ]
[-0.87279108 -0.36365589]
[-1.45531479 -0.51689604]
[-1.40356353 -1.12211003]
[-1.46357816  0.08884385]
[-1.66913463 -0.07484962]
[-1.74408121  0.08974023]
[-1.53653969 -1.17389619]
[ 0.27927993 -0.4168739 ]
[-1.59077301 -0.97199784]
[-1.46148399 -0.78084239]
[-0.9472809   0.24729511]
[-1.33219879  0.03894623]
[-1.17748594 -0.17606207]
[-0.84258168 -1.61770907]
